"HPI for states (All-Transactions Index)
Experimental Indexes Showing Cumulative (Nominal) Annual Appreciation",,,,,,,,
,,,,,,,,
"* These annual state indexes should be considered developmental. As with the standard FHFA HPIs, revisions to these indexes may reflect the impact of new data or technical adjustments. Indexes are calibrated using appraisal values and sales prices for mortgages bought or guaranteed by Fannie Mae and Freddie Mac. In cases where sample sizes are small for the state, an index is either not reported if recording has not started or a missing value is reported with a period ("".""). Index values always reflect only that native state, i.e. they are not made with data from another area or year. Three HPI values are provided and, since the indexes reflect cumulative appreciation since a certain period, the values reflect the base year being used (annual appreciations are the same). Column A is the state name, Column B is the state abbreviation, Column C is the state FIPS code, Column D is the year, Column E is the annual change, Column F is the index value with a base of 100 when first recorded, Column G is the index value with a base of 100 in 1990, and Column H is the index value with a base of 100 in 2000. If a state HPI has a missing value in Column F in 1990 or 2000 then the state HPI will have blank values in Column G or H, respectively.",,,,,,,,
"** For tracking and feedback purposes, please cite one of the associated papers. Three FHFA working papers (WP 16-01, WP 16-02, and WP 16-04) discuss different aspects of the data and each have been published by journals. A suggested citation is: Bogin, Alexander N., Doerner, William M. and Larson, William D. (2019). ""Local House Price Dynamics: New Indices and Stylized Facts"". Real Estate Economics, volume 47, issue 2, pages 365-398. The initial FHFA WP 16-01 is accessible at http://www.fhfa.gov/papers/wp1601.aspx.",,,,,,,,
"Last updated: March 24, 2022.",,,,,,,,
Not Seasonally Adjusted (NSA) ,,,,,,,,
State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,
Alabama,AL,01,1975,.,100.00,49.74,36.16,
Alabama,AL,01,1976,6.70,106.70,53.08,38.58,
Alabama,AL,01,1977,10.00,117.37,58.39,42.44,
Alabama,AL,01,1978,8.38,127.21,63.28,46.00,
Alabama,AL,01,1979,10.73,140.86,70.07,50.93,
Alabama,AL,01,1980,4.81,147.64,73.44,53.39,
Alabama,AL,01,1981,4.42,154.18,76.69,55.75,
Alabama,AL,01,1982,-0.15,153.94,76.58,55.66,
Alabama,AL,01,1983,5.02,161.67,80.42,58.46,
Alabama,AL,01,1984,5.32,170.27,84.70,61.57,
Alabama,AL,01,1985,2.74,174.93,87.02,63.25,
Alabama,AL,01,1986,4.68,183.11,91.09,66.21,
Alabama,AL,01,1987,3.60,189.71,94.37,68.60,
Alabama,AL,01,1988,2.46,194.38,96.69,70.29,
Alabama,AL,01,1989,1.68,197.65,98.32,71.47,
Alabama,AL,01,1990,1.71,201.03,100.00,72.69,
Alabama,AL,01,1991,2.36,205.78,102.36,74.41,
Alabama,AL,01,1992,2.75,211.44,105.18,76.45,
Alabama,AL,01,1993,3.27,218.36,108.62,78.96,
Alabama,AL,01,1994,3.37,225.72,112.28,81.62,
Alabama,AL,01,1995,4.18,235.15,116.97,85.03,
Alabama,AL,01,1996,3.31,242.93,120.84,87.84,
Alabama,AL,01,1997,3.74,252.02,125.36,91.13,
Alabama,AL,01,1998,3.76,261.49,130.07,94.55,
Alabama,AL,01,1999,2.51,268.04,133.33,96.92,
Alabama,AL,01,2000,3.18,276.56,137.57,100.00,
Alabama,AL,01,2001,4.16,288.07,143.30,104.16,
Alabama,AL,01,2002,2.14,294.23,146.36,106.39,
Alabama,AL,01,2003,2.28,300.95,149.71,108.82,
Alabama,AL,01,2004,3.25,310.72,154.57,112.35,
Alabama,AL,01,2005,6.62,331.30,164.80,119.79,
Alabama,AL,01,2006,7.76,356.99,177.58,129.08,
Alabama,AL,01,2007,4.08,371.57,184.83,134.35,
Alabama,AL,01,2008,0.81,374.56,186.32,135.44,
Alabama,AL,01,2009,-2.30,365.94,182.03,132.32,
Alabama,AL,01,2010,-4.30,350.19,174.20,126.62,
Alabama,AL,01,2011,-3.41,338.24,168.25,122.30,
Alabama,AL,01,2012,-1.52,333.11,165.70,120.45,
Alabama,AL,01,2013,-0.58,331.18,164.74,119.75,
Alabama,AL,01,2014,1.40,335.83,167.05,121.43,
Alabama,AL,01,2015,2.20,343.23,170.74,124.11,
Alabama,AL,01,2016,2.64,352.30,175.25,127.39,
Alabama,AL,01,2017,3.13,363.31,180.73,131.37,
Alabama,AL,01,2018,4.37,379.21,188.63,137.12,
Alabama,AL,01,2019,4.47,396.15,197.06,143.24,
Alabama,AL,01,2020,3.77,411.09,204.49,148.64,
Alabama,AL,01,2021,10.38,453.77,225.72,164.08,
Alaska,AK,02,1975,.,100.00,57.40,38.09,
Alaska,AK,02,1976,9.14,109.14,62.65,41.58,
Alaska,AK,02,1977,8.34,118.25,67.88,45.04,
Alaska,AK,02,1978,10.28,130.40,74.86,49.67,
Alaska,AK,02,1979,11.34,145.20,83.35,55.31,
Alaska,AK,02,1980,-5.93,136.59,78.41,52.03,
Alaska,AK,02,1981,21.21,165.56,95.04,63.07,
Alaska,AK,02,1982,24.98,206.92,118.78,78.82,
Alaska,AK,02,1983,5.87,219.07,125.75,83.45,
Alaska,AK,02,1984,7.03,234.47,134.59,89.31,
Alaska,AK,02,1985,-5.47,221.65,127.24,84.43,
Alaska,AK,02,1986,-3.75,213.35,122.47,81.27,
Alaska,AK,02,1987,-15.38,180.54,103.63,68.77,
Alaska,AK,02,1988,6.38,192.05,110.24,73.16,
Alaska,AK,02,1989,-10.12,172.61,99.08,65.75,
Alaska,AK,02,1990,0.92,174.21,100.00,66.36,
Alaska,AK,02,1991,12.92,196.71,112.92,74.93,
Alaska,AK,02,1992,3.74,204.06,117.14,77.73,
Alaska,AK,02,1993,1.52,207.15,118.91,78.91,
Alaska,AK,02,1994,4.11,215.68,123.80,82.16,
Alaska,AK,02,1995,4.79,226.00,129.73,86.09,
Alaska,AK,02,1996,3.97,234.97,134.88,89.50,
Alaska,AK,02,1997,2.90,241.79,138.80,92.10,
Alaska,AK,02,1998,2.50,247.84,142.27,94.41,
Alaska,AK,02,1999,3.71,257.04,147.55,97.91,
Alaska,AK,02,2000,2.13,262.52,150.70,100.00,
Alaska,AK,02,2001,5.07,275.83,158.33,105.07,
Alaska,AK,02,2002,4.58,288.45,165.58,109.88,
Alaska,AK,02,2003,3.31,298.00,171.06,113.51,
Alaska,AK,02,2004,10.17,328.31,188.46,125.06,
Alaska,AK,02,2005,12.63,369.77,212.26,140.85,
Alaska,AK,02,2006,9.94,406.52,233.35,154.85,
Alaska,AK,02,2007,3.33,420.06,241.13,160.01,
Alaska,AK,02,2008,-0.27,418.92,240.47,159.57,
Alaska,AK,02,2009,-1.22,413.80,237.54,157.63,
Alaska,AK,02,2010,-0.47,411.86,236.42,156.88,
Alaska,AK,02,2011,0.48,413.82,237.55,157.63,
Alaska,AK,02,2012,0.18,414.58,237.98,157.92,
Alaska,AK,02,2013,2.71,425.82,244.43,162.20,
Alaska,AK,02,2014,2.47,436.34,250.47,166.21,
Alaska,AK,02,2015,3.17,450.15,258.40,171.47,
Alaska,AK,02,2016,1.83,458.39,263.13,174.61,
Alaska,AK,02,2017,1.35,464.60,266.69,176.97,
Alaska,AK,02,2018,1.34,470.84,270.28,179.35,
Alaska,AK,02,2019,2.34,481.86,276.60,183.55,
Alaska,AK,02,2020,2.17,492.31,282.60,187.53,
Alaska,AK,02,2021,6.68,525.17,301.47,200.05,
Arizona,AZ,04,1975,.,100.00,44.17,29.50,
Arizona,AZ,04,1976,3.66,103.66,45.79,30.58,
Arizona,AZ,04,1977,8.26,112.22,49.57,33.10,
Arizona,AZ,04,1978,15.26,129.34,57.13,38.15,
Arizona,AZ,04,1979,22.36,158.26,69.91,46.68,
Arizona,AZ,04,1980,11.67,176.74,78.07,52.13,
Arizona,AZ,04,1981,7.99,190.87,84.31,56.30,
Arizona,AZ,04,1982,-4.76,181.79,80.30,53.62,
Arizona,AZ,04,1983,10.27,200.47,88.55,59.13,
Arizona,AZ,04,1984,4.37,209.24,92.42,61.72,
Arizona,AZ,04,1985,3.46,216.48,95.62,63.85,
Arizona,AZ,04,1986,5.38,228.12,100.76,67.29,
Arizona,AZ,04,1987,1.02,230.44,101.79,67.97,
Arizona,AZ,04,1988,-0.90,228.37,100.88,67.36,
Arizona,AZ,04,1989,-0.50,227.24,100.38,67.03,
Arizona,AZ,04,1990,-0.37,226.39,100.00,66.78,
Arizona,AZ,04,1991,2.14,231.23,102.14,68.21,
Arizona,AZ,04,1992,2.17,236.25,104.35,69.69,
Arizona,AZ,04,1993,1.97,240.91,106.41,71.06,
Arizona,AZ,04,1994,4.70,252.24,111.42,74.40,
Arizona,AZ,04,1995,6.60,268.90,118.78,79.32,
Arizona,AZ,04,1996,4.12,279.98,123.67,82.58,
Arizona,AZ,04,1997,4.16,291.62,128.81,86.02,
Arizona,AZ,04,1998,4.46,304.62,134.55,89.85,
Arizona,AZ,04,1999,4.10,317.11,140.07,93.54,
Arizona,AZ,04,2000,6.91,339.02,149.75,100.00,
Arizona,AZ,04,2001,6.11,359.75,158.91,106.11,
Arizona,AZ,04,2002,5.06,377.95,166.95,111.48,
Arizona,AZ,04,2003,4.04,393.21,173.69,115.98,
Arizona,AZ,04,2004,11.45,438.22,193.57,129.26,
Arizona,AZ,04,2005,30.08,570.04,251.79,168.14,
Arizona,AZ,04,2006,17.73,671.11,296.44,197.96,
Arizona,AZ,04,2007,-0.64,666.84,294.56,196.70,
Arizona,AZ,04,2008,-12.06,586.42,259.03,172.97,
Arizona,AZ,04,2009,-18.55,477.62,210.97,140.88,
Arizona,AZ,04,2010,-13.11,415.02,183.32,122.42,
Arizona,AZ,04,2011,-10.15,372.88,164.71,109.99,
Arizona,AZ,04,2012,4.28,388.84,171.76,114.69,
Arizona,AZ,04,2013,11.84,434.87,192.09,128.27,
Arizona,AZ,04,2014,10.09,478.74,211.47,141.21,
Arizona,AZ,04,2015,5.55,505.33,223.21,149.06,
Arizona,AZ,04,2016,7.01,540.75,238.86,159.50,
Arizona,AZ,04,2017,7.38,580.68,256.50,171.28,
Arizona,AZ,04,2018,7.72,625.48,276.28,184.50,
Arizona,AZ,04,2019,6.84,668.25,295.18,197.11,
Arizona,AZ,04,2020,6.48,711.54,314.30,209.88,
Arizona,AZ,04,2021,18.41,842.50,372.15,248.51,
Arkansas,AR,05,1975,.,100.00,49.53,36.09,
Arkansas,AR,05,1976,9.98,109.98,54.48,39.69,
Arkansas,AR,05,1977,11.48,122.60,60.73,44.24,
Arkansas,AR,05,1978,8.48,133.00,65.88,48.00,
Arkansas,AR,05,1979,14.99,152.93,75.75,55.19,
Arkansas,AR,05,1980,7.25,164.02,81.25,59.19,
Arkansas,AR,05,1981,4.53,171.46,84.93,61.87,
Arkansas,AR,05,1982,0.09,171.61,85.01,61.93,
Arkansas,AR,05,1983,8.51,186.22,92.24,67.20,
Arkansas,AR,05,1984,2.63,191.12,94.67,68.97,
Arkansas,AR,05,1985,1.50,193.99,96.09,70.00,
Arkansas,AR,05,1986,3.27,200.32,99.23,72.29,
Arkansas,AR,05,1987,0.69,201.71,99.92,72.79,
Arkansas,AR,05,1988,-1.02,199.66,98.90,72.05,
Arkansas,AR,05,1989,0.21,200.08,99.11,72.20,
Arkansas,AR,05,1990,0.90,201.88,100.00,72.85,
Arkansas,AR,05,1991,1.87,205.65,101.87,74.21,
Arkansas,AR,05,1992,2.45,210.68,104.36,76.03,
Arkansas,AR,05,1993,3.91,218.91,108.43,79.00,
Arkansas,AR,05,1994,5.02,229.89,113.88,82.96,
Arkansas,AR,05,1995,5.33,242.16,119.95,87.39,
Arkansas,AR,05,1996,2.87,249.11,123.39,89.90,
Arkansas,AR,05,1997,2.75,255.95,126.78,92.36,
Arkansas,AR,05,1998,2.95,263.49,130.52,95.09,
Arkansas,AR,05,1999,2.20,269.29,133.39,97.18,
Arkansas,AR,05,2000,2.90,277.10,137.26,100.00,
Arkansas,AR,05,2001,4.55,289.72,143.51,104.55,
Arkansas,AR,05,2002,2.66,297.44,147.34,107.34,
Arkansas,AR,05,2003,2.60,305.18,151.17,110.13,
Arkansas,AR,05,2004,5.50,321.95,159.48,116.18,
Arkansas,AR,05,2005,7.04,344.62,170.71,124.37,
Arkansas,AR,05,2006,5.85,364.77,180.69,131.64,
Arkansas,AR,05,2007,2.42,373.61,185.07,134.83,
Arkansas,AR,05,2008,-0.46,371.90,184.22,134.21,
Arkansas,AR,05,2009,-2.02,364.40,180.50,131.50,
Arkansas,AR,05,2010,-2.85,354.03,175.37,127.76,
Arkansas,AR,05,2011,-1.72,347.94,172.35,125.56,
Arkansas,AR,05,2012,-0.12,347.54,172.15,125.42,
Arkansas,AR,05,2013,1.19,351.67,174.20,126.91,
Arkansas,AR,05,2014,1.43,356.70,176.69,128.72,
Arkansas,AR,05,2015,2.29,364.88,180.74,131.68,
